id,hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces
17,Resort Hotel,80,2016,April,15,7,0,3,2,0.0,0,Undefined,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,67.0,,0,Transient-Party,68.0,0
18,City Hotel,152,2017,April,16,22,2,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,58.0,,0,Transient,95.0,0
19,City Hotel,25,2017,June,23,5,1,2,1,0.0,0,SC,GBR,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,,0,Transient,140.0,0
20,City Hotel,302,2016,September,38,16,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,12.0,,70,Transient,100.0,0
21,Resort Hotel,121,2016,May,21,19,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,63.4,0
22,City Hotel,32,2016,August,35,23,0,3,2,2.0,0,BB,USA,Direct,Direct,0,0,0,E,E,2,No Deposit,14.0,,0,Transient,182.95,1
23,City Hotel,61,2017,January,4,25,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,326.0,,0,Transient,80.0,0
24,City Hotel,113,2016,February,9,25,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,19.0,,44,Transient,75.0,0
25,City Hotel,85,2016,January,4,22,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,29.0,,0,Transient,75.0,0
26,City Hotel,64,2016,December,49,3,1,1,2,0.0,0,BB,NLD,Online TA,TA/TO,1,0,1,A,A,0,No Deposit,9.0,,0,Transient,93.6,0
27,City Hotel,398,2016,August,33,11,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0
28,City Hotel,183,2017,June,23,8,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,86.0,,0,Transient,120.0,0
29,Resort Hotel,31,2015,November,45,2,5,11,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,281.0,,0,Transient-Party,40.0,0
30,City Hotel,6,2015,August,33,12,0,4,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,90.0,0
31,City Hotel,77,2016,July,31,26,2,7,2,2.0,0,BB,FRA,Direct,Direct,0,0,0,E,E,1,No Deposit,,,0,Transient,160.7,0
32,Resort Hotel,140,2017,April,16,22,2,5,2,0.0,0,BB,GBR,Groups,TA/TO,1,0,5,A,A,1,No Deposit,273.0,,0,Group,0.0,0
33,City Hotel,181,2016,May,19,5,2,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,26.0,,42,Transient,90.0,0
34,City Hotel,14,2015,October,42,15,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,99.0,,0,Transient-Party,100.0,0
35,Resort Hotel,151,2016,November,47,19,2,5,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,314.0,,0,Transient,26.64,0
36,City Hotel,45,2016,October,41,3,1,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0
37,City Hotel,0,2015,November,46,14,0,1,3,0.0,0,BB,CHL,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Contract,107.0,0
38,City Hotel,19,2016,February,7,7,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,82.13,0
39,Resort Hotel,340,2015,September,36,5,4,6,2,0.0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,E,E,2,No Deposit,96.0,,0,Transient,87.75,0
40,Resort Hotel,2,2017,April,15,12,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,91.0,0
41,Resort Hotel,18,2017,January,4,26,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,48.0,0
42,Resort Hotel,237,2017,April,17,25,0,2,2,0.0,0,HB,AUT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,502.0,,34,Transient-Party,90.0,0
43,City Hotel,81,2016,May,21,15,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,133.0,,0,Transient-Party,90.0,0
44,City Hotel,1,2016,January,5,27,0,2,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,10.0,,0,Transient,71.2,0
45,Resort Hotel,25,2017,May,22,30,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,98.0,0
46,City Hotel,102,2016,July,28,9,0,1,2,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,130.5,0
47,City Hotel,103,2016,April,17,19,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,119.0,,0,Transient,115.0,0
48,City Hotel,8,2015,August,35,26,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,9.0,,0,Contract,90.0,0
49,City Hotel,61,2017,March,12,19,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0
50,Resort Hotel,95,2016,November,47,19,2,5,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,,0,Transient,8.0,0
51,City Hotel,91,2016,May,20,13,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient-Party,140.4,0
52,Resort Hotel,82,2015,August,34,17,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,1,D,D,0,No Deposit,240.0,,0,Transient-Party,154.0,0
53,City Hotel,109,2016,April,17,20,1,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,77.89,0
54,City Hotel,40,2017,June,23,9,0,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9.0,,0,Transient,160.0,0
55,City Hotel,278,2017,March,12,25,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,0,Transient,90.0,0
56,Resort Hotel,210,2017,May,18,4,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,177.0,,0,Transient,90.0,0
57,City Hotel,266,2016,October,43,21,0,2,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,29.0,,74,Transient-Party,85.0,0
58,City Hotel,216,2017,August,35,31,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,168.0,,0,Transient,89.1,1
59,City Hotel,243,2017,May,20,18,0,3,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,159.3,0
60,City Hotel,5,2016,December,51,13,0,1,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,96.0,0
61,City Hotel,246,2017,May,21,27,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12.0,,0,Transient-Party,128.0,0
62,Resort Hotel,6,2017,May,18,2,0,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,75.0,0
63,Resort Hotel,18,2017,July,28,13,0,3,2,0.0,0,BB,NOR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,166.0,0
64,City Hotel,73,2016,May,19,7,0,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.9,0
65,City Hotel,160,2016,July,29,14,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,94.5,0
66,City Hotel,3,2015,August,33,10,1,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,,,0,Transient,63.5,0
67,City Hotel,56,2016,June,24,8,0,1,2,0.0,0,BB,PRT,Offline TA/TO,Corporate,0,0,0,A,A,0,No Deposit,191.0,,0,Transient-Party,120.0,0
68,City Hotel,20,2015,December,53,28,1,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,7.0,,0,Transient,70.42,0
69,Resort Hotel,21,2016,March,12,16,0,4,3,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,C,C,0,No Deposit,196.0,,0,Transient,30.0,0
70,City Hotel,245,2017,May,19,7,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0
71,City Hotel,147,2016,May,19,3,0,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9.0,,0,Transient,99.45,0
72,City Hotel,63,2016,February,8,15,1,3,2,0.0,0,BB,POL,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,58.0,0
73,City Hotel,161,2017,June,25,21,0,2,3,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,163.8,0
74,City Hotel,182,2016,March,14,28,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,96.94,0
75,City Hotel,94,2017,May,22,31,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,142.0,0
76,City Hotel,174,2015,October,41,10,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,70.0,0
77,City Hotel,22,2015,September,38,17,1,3,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,109.25,0
78,Resort Hotel,27,2017,August,32,8,0,2,1,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,2,No Deposit,241.0,,0,Transient,232.0,0
79,Resort Hotel,127,2016,August,35,22,1,5,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,5.0,,0,Transient,183.2,1
80,City Hotel,165,2017,July,29,20,0,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,96.9,0
81,Resort Hotel,11,2016,October,43,22,2,2,2,0.0,0,BB,SWE,Groups,Corporate,0,0,0,G,G,0,No Deposit,,,0,Transient-Party,115.0,1
82,Resort Hotel,172,2016,December,53,26,2,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,,0,Transient,52.46,0
83,City Hotel,27,2017,July,28,9,2,2,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,130.0,0
84,City Hotel,1,2016,July,30,20,0,1,0,0.0,0,SC,PRT,Direct,Direct,0,0,0,E,B,1,No Deposit,14.0,,0,Transient,0.0,0
85,Resort Hotel,0,2017,January,4,26,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,72.0,1
86,Resort Hotel,152,2017,April,14,5,0,4,1,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,1,No Deposit,,223.0,0,Transient-Party,42.0,0
87,Resort Hotel,268,2017,June,26,28,0,4,2,0.0,0,HB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,112.22,0
88,City Hotel,278,2015,July,30,22,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,,0,Contract,62.0,0
89,Resort Hotel,2,2017,January,3,21,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,65.0,1
90,City Hotel,235,2016,June,26,24,0,2,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,61,Transient-Party,65.0,0
91,City Hotel,87,2017,April,15,15,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,95.0,0
92,City Hotel,212,2017,June,23,9,0,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0
93,City Hotel,28,2017,February,6,5,2,4,1,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,97.65,0
94,City Hotel,11,2016,November,45,3,2,4,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,96.41,0
95,Resort Hotel,223,2017,June,25,19,2,5,2,0.0,0,FB,POL,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,315.0,,0,Contract,158.9,0
96,City Hotel,156,2017,April,17,26,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,0,Transient,100.0,0
97,City Hotel,98,2017,February,6,10,1,2,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,77.0,0
98,Resort Hotel,319,2016,June,23,3,4,10,1,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,40.0,,0,Contract,53.55,0
99,City Hotel,198,2016,September,37,9,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,90.0,0
100,Resort Hotel,11,2017,February,9,27,1,0,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,436.0,,0,Transient,34.0,1
101,City Hotel,36,2016,November,48,26,2,1,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,72.0,0
102,Resort Hotel,0,2016,January,4,22,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,54.0,1
103,Resort Hotel,164,2016,June,27,30,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,,0,Contract,59.8,0
104,City Hotel,251,2017,January,3,21,2,2,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,77.35,0
105,City Hotel,81,2017,March,13,30,0,3,2,0.0,0,SC,AUT,Online TA,TA/TO,0,0,0,A,A,4,No Deposit,9.0,,0,Transient,85.8,0
106,Resort Hotel,1,2017,April,14,4,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,127.0,,0,Transient-Party,61.6,0
107,City Hotel,4,2016,March,13,21,1,2,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,9.0,,0,Transient,128.0,0
108,Resort Hotel,173,2016,August,35,21,2,5,3,0.0,0,HB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,214.5,0
109,Resort Hotel,56,2016,April,18,25,1,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,,0,Transient-Party,39.1,0
110,Resort Hotel,70,2015,September,40,30,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,58.57,0
111,Resort Hotel,5,2016,September,38,14,0,1,1,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,E,0,No Deposit,223.0,,0,Transient-Party,60.0,0
112,City Hotel,37,2017,March,9,2,2,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,100.3,0
113,City Hotel,118,2016,April,16,10,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.95,0
114,Resort Hotel,364,2016,October,42,12,0,4,3,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,C,3,No Deposit,,223.0,0,Transient-Party,103.0,0
115,City Hotel,42,2017,March,12,19,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,108.0,0
116,City Hotel,89,2016,May,20,9,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,1,No Deposit,28.0,,0,Transient,75.0,0
117,City Hotel,21,2015,September,39,21,1,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,124.0,0
118,City Hotel,28,2016,October,43,19,0,1,1,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,87.01,0
119,City Hotel,256,2016,June,25,15,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,124.0,0
120,Resort Hotel,35,2016,December,53,25,2,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,60.0,0
121,Resort Hotel,0,2015,July,29,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,C,0,No Deposit,,,0,Transient,134.0,0
122,City Hotel,46,2017,February,9,27,1,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,89.0,,0,Transient,77.76,0
123,City Hotel,8,2016,March,10,1,0,3,1,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,159.0,,0,Transient,56.0,0
124,City Hotel,133,2017,April,16,19,0,4,2,0.0,0,BB,ISL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,390.0,,0,Transient-Party,124.0,0
125,City Hotel,301,2015,August,33,14,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0
126,City Hotel,53,2016,July,28,9,1,1,3,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,148.5,0
127,Resort Hotel,72,2016,April,15,9,2,6,1,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,96.0,,0,Transient-Party,36.0,0
128,Resort Hotel,3,2017,February,9,26,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,314.0,,0,Transient,39.6,1
129,Resort Hotel,243,2016,October,42,9,1,0,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,251.0,,0,Transient,59.0,0
130,City Hotel,46,2017,May,19,7,2,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,166.68,0
131,City Hotel,117,2016,June,24,5,2,3,1,0.0,0,BB,CHL,Offline TA/TO,Corporate,0,0,0,A,E,1,No Deposit,191.0,,0,Transient-Party,110.0,0
132,Resort Hotel,243,2017,June,25,24,4,10,2,0.0,0,HB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,126.0,0
133,City Hotel,327,2015,September,37,9,2,4,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,88.0,0
134,City Hotel,41,2016,December,53,27,0,1,2,0.0,0,BB,BRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,220.0,,0,Transient-Party,65.0,0
135,Resort Hotel,19,2016,August,35,23,1,5,2,0.0,0,HB,ESP,Direct,TA/TO,1,0,1,C,C,3,No Deposit,,,0,Transient,245.2,1
136,City Hotel,0,2016,January,2,6,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,94.0,,0,Transient,45.0,0
137,City Hotel,18,2015,July,29,18,1,1,3,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,108.75,0
138,City Hotel,268,2015,July,29,12,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,5.0,,0,Transient,82.0,0
139,City Hotel,29,2016,January,2,4,1,0,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,75.95,0
140,City Hotel,281,2016,April,16,14,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0
141,City Hotel,186,2016,July,31,28,2,3,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,111.76,0
142,City Hotel,6,2015,November,45,2,1,3,2,0.0,0,BB,PRT,Direct,Direct,0,1,0,A,A,0,No Deposit,,,0,Transient,95.0,0
143,City Hotel,169,2016,April,17,22,2,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,2.0,,48,Transient-Party,106.0,0
144,City Hotel,133,2016,July,29,12,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,105.3,0
145,Resort Hotel,80,2015,September,37,10,1,3,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,133.0,0
146,City Hotel,278,2015,July,30,22,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0
147,Resort Hotel,116,2017,May,19,11,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient-Party,100.0,0
148,Resort Hotel,37,2015,July,28,10,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,105.0,,0,Transient,120.0,0
149,City Hotel,163,2016,June,24,5,2,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,171.0,,0,Transient,100.0,0
150,City Hotel,152,2016,July,30,22,2,3,2,0.0,0,BB,ARE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,101.15,0
151,City Hotel,88,2017,July,29,18,0,3,2,0.0,0,BB,ARG,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,150.0,0
152,City Hotel,356,2015,October,41,8,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0
153,City Hotel,68,2015,September,37,12,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1.0,,0,Transient-Party,62.0,0
154,City Hotel,47,2016,March,14,29,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0
155,City Hotel,182,2017,August,31,2,0,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,130.5,0
156,City Hotel,144,2017,July,31,30,2,2,2,0.0,0,HB,RUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,173.7,0
157,City Hotel,55,2016,April,15,6,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,,0,Transient-Party,104.0,0
